geo,iso3,year,learning,learning_percentile,ef_percentile,gap_pct
PT,PRT,2013,67.14,0.2,0.5,0.3
RO,ROU,2013,88.3,0.5333333333333333,0.5384615384615384,0.00512820512820511
SK,SVK,2013,91.22,0.6333333333333333,0.38461538461538464,-0.24871794871794867
SI,SVN,2013,85.44,0.43333333333333335,,
SE,SWE,2013,95.44,0.7333333333333333,0.9615384615384616,0.22820512820512828
AT,AUT,2014,99.26,0.896551724137931,0.7096774193548387,-0.1868743047830923
BE,BEL,2014,57.14,0.06896551724137931,0.7419354838709677,0.6729699666295884
BG,BGR,2014,83.42,0.41379310344827586,0.3548387096774194,-0.058954393770856484
CY,CYP,2014,96.2,0.7586206896551724,,
CZ,CZE,2014,88.08,0.5517241379310345,0.4838709677419355,-0.06785317018909898
DE,DEU,2014,69.78,0.20689655172413793,0.7741935483870968,0.5672969966629589
DK,DNK,2014,62.6,0.13793103448275862,0.9032258064516129,0.7652947719688543
ES,ESP,2014,79.08,0.3448275862068966,0.2903225806451613,-0.054505005561735265
EE,EST,2014,83.4,0.3793103448275862,,
FI,FIN,2014,91.42,0.5862068965517241,0.8387096774193549,0.2525027808676308
FR,FRA,2014,97.02000000000001,0.7931034482758621,0.22580645161290322,-0.5672969966629589
HR,HRV,2014,93.08,0.6896551724137931,0.5806451612903226,-0.10901001112347053
HU,HUN,2014,61.839999999999996,0.10344827586206896,0.45161290322580644,0.3481646273637375
IS,ISL,2014,67.56,0.1724137931034483,,
IT,ITA,2014,98.58,0.8620689655172413,0.25806451612903225,-0.6040044493882091
LI,LIE,2014,100.0,0.9827586206896551,,
LT,LTU,2014,84.3,0.4482758620689655,0.3225806451612903,-0.1256952169076752
LU,LUX,2014,55.98,0.034482758620689655,0.8709677419354839,0.8364849833147943
LV,LVA,2014,85.32000000000001,0.4827586206896552,,
MK,MKD,2014,99.6,0.9310344827586207,,
MT,MLT,2014,100.0,0.9827586206896551,,
NL,NLD,2014,77.84,0.3103448275862069,0.967741935483871,0.6573971078976641
NO,NOR,2014,69.92,0.2413793103448276,0.9354838709677419,0.6941045606229143
PL,POL,2014,92.75999999999999,0.6551724137931034,0.6774193548387096,0.022246941045606206
PT,PRT,2014,69.96000000000001,0.27586206896551724,0.5161290322580645,0.24026696329254726
RO,ROU,2014,93.28,0.7241379310344828,0.6129032258064516,-0.11123470522803114
SK,SVK,2014,91.64,0.6206896551724138,0.3870967741935484,-0.23359288097886544
SI,SVN,2014,86.0,0.5172413793103449,0.8064516129032258,0.2892102335928809
SE,SWE,2014,97.3,0.8275862068965517,1.0,0.1724137931034483
AT,AUT,2015,99.47999999999999,0.9310344827586207,0.8666666666666667,-0.06436781609195397
BE,BEL,2015,54.56,0.034482758620689655,0.7333333333333333,0.6988505747126437
BG,BGR,2015,83.78,0.41379310344827586,0.43333333333333335,0.019540229885057492
CY,CYP,2015,95.5,0.7241379310344828,,
CZ,CZE,2015,90.0,0.5172413793103449,0.4666666666666667,-0.05057471264367819
DE,DEU,2015,72.34,0.27586206896551724,0.8333333333333334,0.5574712643678161
DK,DNK,2015,62.6,0.10344827586206896,,
ES,ESP,2015,83.08,0.3793103448275862,0.26666666666666666,-0.11264367816091952
EE,EST,2015,81.74,0.3448275862068966,0.36666666666666664,0.021839080459770066
FI,FIN,2015,91.66,0.5689655172413793,0.9,0.3310344827586207
FR,FRA,2015,97.24,0.8620689655172413,0.3333333333333333,-0.5287356321839081
HR,HRV,2015,95.1,0.6896551724137931,0.7,0.010344827586206806
HU,HUN,2015,63.3,0.13793103448275862,0.6666666666666666,0.5287356321839081
IS,ISL,2015,68.12,0.20689655172413793,,
IT,ITA,2015,95.74,0.7586206896551724,0.23333333333333334,-0.525287356321839
LI,LIE,2015,96.05,0.7931034482758621,,
LT,LTU,2015,84.97999999999999,0.4482758620689655,0.5333333333333333,0.0850574712643678
LU,LUX,2015,57.14,0.06896551724137931,,
LV,LVA,2015,91.66,0.5689655172413793,0.3,-0.26896551724137935
MK,MKD,2015,100.0,0.9827586206896551,,
MT,MLT,2015,100.0,0.9827586206896551,,
NL,NLD,2015,74.78,0.3103448275862069,1.0,0.6896551724137931
NO,NOR,2015,67.14,0.1724137931034483,0.9333333333333333,0.7609195402298851
PL,POL,2015,93.62,0.6551724137931034,0.8,0.14482758620689662
PT,PRT,2015,69.3,0.2413793103448276,0.7666666666666667,0.5252873563218391
RO,ROU,2015,96.38,0.8275862068965517,0.6333333333333333,-0.1942528735632184
SK,SVK,2015,91.7,0.6206896551724138,0.4,-0.2206896551724138
SI,SVN,2015,85.8,0.4827586206896552,,
SE,SWE,2015,97.52000000000001,0.896551724137931,0.9666666666666667,0.07011494252873562
AT,AUT,2016,99.67999999999999,0.896551724137931,,
BE,BEL,2016,57.6,0.06896551724137931,,
BG,BGR,2016,84.97999999999999,0.41379310344827586,0.5172413793103449,0.103448275862069
CY,CYP,2016,95.88000000000001,0.7586206896551724,,
CZ,CZE,2016,90.36,0.5517241379310345,0.5517241379310345,0.0
DE,DEU,2016,72.42,0.2413793103448276,0.8275862068965517,0.5862068965517241
DK,DNK,2016,68.47999999999999,0.20689655172413793,0.9655172413793104,0.7586206896551725
ES,ESP,2016,85.0,0.4482758620689655,0.2413793103448276,-0.20689655172413793
EE,EST,2016,77.67999999999999,0.3448275862068966,0.3793103448275862,0.03448275862068961
FI,FIN,2016,89.66,0.5172413793103449,0.9310344827586207,0.4137931034482758
FR,FRA,2016,97.38,0.8275862068965517,0.3448275862068966,-0.48275862068965514
HR,HRV,2016,93.24,0.6206896551724138,0.7586206896551724,0.13793103448275856
HU,HUN,2016,65.32000000000001,0.10344827586206896,0.7241379310344828,0.6206896551724138
IS,ISL,2016,67.3,0.1724137931034483,,
